interview_date,village,years_farm,agr_assoc,no_membrs,remittance_money,years_liv,parents_liv,sp_parents_liv,grand_liv,sp_grand_liv,roof_type,wall_type,floor_type,window_type,buildings_in_compound,rooms,other_buildings,no_plots,water_use,no_group_count,yes_group_count,no_enough_water,months_no_water,period_use,exper_other,other_meth,res_change,memb_assoc,resp_assoc,fees_water,affect_conflicts,need_money,money_source,money_source_other,crops_contr,emply_lab,du_labour,liv_owned,liv_owned_other,liv_count,poultry,du_look_aftr_cows,items_owned,items_owned_other,no_meals,months_lack_food,no_food_mitigation,gps_Latitude,gps_Longitude,gps_Altitude,gps_Accuracy
2016-11-17T00:00:00Z,Village_A,11,no,3,no,4,no,yes,no,yes,grass,muddaub,earth,no,1,1,no,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,no,poultry,NULL,1,yes,no,bicycle ;  television ;  solar_panel ;  table,NULL,2,Jan,na ;  rely_less_food ;  reduce_meals ;  day_night_hungry,-19.11225943,33.48345609,698,14
2016-11-17T00:00:00Z,Village_A,6,no,7,no,6,no,no,no,no,mabatisloping,burntbricks,earth,no,1,1,no,3,no,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,oxen ;  cows,NULL,2,yes,no,bicycle ;  radio ;  cow_plough ;  solar_panel ;  mobile_phone,NULL,2,Sept ;  Oct ;  Nov ;  Dec,na ;  reduce_meals ;  restrict_adults ;  lab_ex_food,-19.11222901,33.48342395,679,5
2016-11-17T00:00:00Z,Village_A,3,no,3,no,3,no,no,no,no,grass,muddaub,earth,no,1,1,no,1,no,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,none,NULL,1,no,no,NULL,NULL,2,Aug ;  Sept ;  Oct,borrow_food ;  lab_ex_food ;  seek_government,-19.1121959,33.48339187,692,12
2016-11-21T00:00:00Z,Village_A,6,no,6,no,20,yes,yes,no,yes,grass,sunbricks,earth,no,2,1,no,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,oxen ;  cows,NULL,2,no,no,radio ;  cow_plough,NULL,2,Oct ;  Nov,rely_less_food ;  lab_ex_food,-19.11219126,33.48345933,707,10
2016-11-24T00:00:00Z,Village_A,5,no,4,no,4,no,no,no,no,grass,burntbricks,earth,no,2,1,no,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,yes,no,none,NULL,1,yes,no,electricity,NULL,2,Jan ;  Sept ;  Oct ;  Nov ;  Dec,limit_variety ;  reduce_meals ;  borrow_food ;  go_forest ;  lab_ex_food,-19.11220708,33.48342364,713,13
2016-11-25T00:00:00Z,Village_A,11,yes,10,no,13,no,no,no,no,grass,sunbricks,earth,no,2,1,no,2,yes,NULL,2,yes,Oct ;  Nov,11,no,no,NULL,no,NULL,no,more_once,no,NULL,NULL,more_half,yes,no,oxen ;  cows,NULL,2,yes,no,motorcyle ;  television ;  cow_plough ;  solar_panel ;  mobile_phone,NULL,3,Nov,na,-19.1120537,33.48349493,713,9
2016-11-28T00:00:00Z,Village_A,7,yes,5,no,48,yes,yes,no,no,grass,burntbricks,earth,no,3,1,no,3,yes,NULL,3,yes,Sept ;  Oct ;  Nov,5,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,more_half,yes,no,oxen ;  cows ;  poultry,NULL,3,no,no,cow_cart ;  bicycle ;  radio ;  cow_plough ;  solar_torch,NULL,2,Sept ;  Oct ;  Nov,lab_ex_food,-19.11220559,33.48342104,706,9
2016-11-28T00:00:00Z,Village_A,11,no,3,no,49,no,no,no,no,grass,burntbricks,earth,no,1,1,no,2,yes,NULL,2,yes,Jan ;  Dec,11,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,less_half,yes,no,none,NULL,1,yes,no,NULL,NULL,3,Nov,reduce_meals ;  lab_ex_food,-19.11212338,33.48338774,716,7
2016-11-21T00:00:00Z,Village_A,6,yes,4,no,6,yes,yes,yes,yes,grass,muddaub,earth,no,1,2,no,2,no,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,no,yes,oxen ;  cows,NULL,2,yes,no,bicycle ;  radio ;  solar_torch ;  mobile_phone,NULL,2,Oct ;  Nov ;  Dec,borrow_food ;  lab_ex_food,-19.11217226,33.48338504,685,10
2017-05-18T00:00:00Z,Village_A,17,yes,4,no,24,yes,no,yes,no,grass,sunbricks,earth,no,2,1,no,2,yes,NULL,2,no,NULL,2,yes,no,NULL,no,NULL,no,never,no,NULL,NULL,less_half,no,yes,none,NULL,1,no,no,radio ;  solar_panel ;  solar_torch,NULL,3,Sept ;  Oct ;  Nov,lab_ex_food,-19.11149498,33.47617506,712,28
2017-06-03T00:00:00Z,Village_A,3,yes,7,no,13,yes,yes,yes,yes,mabatisloping,burntbricks,earth,no,2,2,no,3,yes,NULL,3,yes,Jan ;  Dec,3,yes,no,NULL,yes,yes,no,frequently,no,NULL,NULL,more_half,yes,yes,oxen ;  cows,NULL,2,yes,no,cow_cart ;  cow_plough ;  solar_torch ;  mobile_phone,NULL,2,Nov,lab_ex_food,-19.11218456,33.4834495,711,12
